Atlantic 1/4,Florida Panthers,v.,Boston Bruins,1,-,3, , 
Atlantic 2/3,Tampa Bay Lightning,v.,Toronto Maple Leafs,1,-,3, , 
Metro 1/4,New York Islanders,v.,Carolina Hurricanes,1,-,3, , 
Metro 2/3,New York Rangers,v.,New Jersey Devils,2,-,2, , 
Central 1/4,Seattle Kraken,v.,Colorado Avalanche,2,-,2, , 
Central 2/3,Minnesota Wild,v.,Dallas Stars,2,-,2, , 
Pacific 1/4,Winnipeg Jets,v.,Vegas Golden Knights,1,-,3, , 
Pacific 2/3,Los Angeles Kings,v.,Edmonton Oilers,2,-,2, , 
Atlantic Finals, , , , , , , , 
Metro Finals, , , , , , , , 
Central Finals, , , , , , , , 
Pacific Finals, , , , , , , , 
East Finals, , , , , , , , 
West Finals, , , , , , , , 
Stanley Cup, , , , , , , , 
